filename,nested_loops,repetitive_code,inefficient_algorithms,redundant_computations,cpu_cycles,carbon_footprint
django.py,0,0,0,0,0,0.0
PayloadsAllTheThings.py,0,0,0,0,0,0.0
gpt-engineer.py,0,0,0,0,0,0.0
public-apis.py,0,0,0,0,0,0.0
ansible.py,0,0,0,0,0,0.0
localstack.py,0,0,0,0,0,0.0
models.py,0,0,0,0,0,0.0
sherlock.py,0,0,0,0,0,0.0
transformers.py,0,0,0,0,0,0.0
funNLP.py,0,0,0,0,0,0.0
screenshot-to-code.py,0,0,0,0,0,0.0
keras.py,0,0,0,0,0,0.0
awesome-machine-learning.py,0,0,0,0,0,0.0
fastapi.py,0,0,0,0,0,0.0
private-gpt.py,0,0,0,0,0,0.0
stable-diffusion-webui.py,0,0,0,0,0,0.0
scikit-learn.py,0,0,0,0,0,0.0
flask.py,0,0,0,0,0,0.0
awesome-python.py,0,0,0,0,0,0.0
Real-Time-Voice-Cloning.py,0,0,0,0,0,0.0
gpt_academic.py,0,0,0,0,0,0.0
open-interpreter.py,0,0,0,0,0,0.0
grok-1.py,0,0,0,0,0,0.0
thefuck.py,0,0,0,0,0,0.0
core.py,0,0,0,0,0,0.0
youtube-dl.py,0,0,0,0,0,0.0
devops-exercises.py,0,0,0,0,0,0.0
faceswap.py,0,0,0,0,0,0.0
whisper.py,0,0,0,0,0,0.0
llama.py,0,0,0,0,0,0.0
cpython.py,0,0,0,0,0,0.0
pytorch.py,0,0,0,0,0,0.0
HelloGitHub.py,0,0,0,0,0,0.0
hackingtool.py,0,0,0,0,0,0.0
AutoGPT.py,0,0,0,0,0,0.0
annotated_deep_learning_paper_implementations.py,0,0,0,0,0,0.0
Python.py,0,0,0,0,0,0.0
ComfyUI.py,0,0,0,0,0,0.0
openpilot.py,0,0,0,0,0,0.0
gpt4free.py,0,0,0,0,0,0.0
requests.py,0,0,0,0,0,0.0
yt-dlp.py,0,0,0,0,0,0.0
yolov5.py,0,0,0,0,0,0.0
manim.py,0,0,0,0,0,0.0
Python-100-Days.py,0,0,0,0,0,0.0
d2l-zh.py,0,0,0,0,0,0.0
you-get.py,0,0,0,0,0,0.0
scrapy.py,0,0,0,0,0,0.0
system-design-primer.py,0,0,0,0,0,0.0
face_recognition.py,0,0,0,0,0,0.0
